margin_low,margin_high,bin_low,bin_hi,p0.01,p0.1,p1,p2,p3,p4,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p97,p98,p99,p99.9,p99.99
-100,-20.00000001,60.00000001,65,-69.82420358,-34.91210179,-15.32269673,-11.22954338,-10.26425663,-9.532783781,-9.279675855,-6.064061659,-3.470078291,-2.609938233,-1.635971095,-0.7985592982,-0.2857800508,-0.004725640487,0.1471843965,0.5541423745,1.031572388,1.304627669,1.823609228,2.316690334,2.80242301,3.37876904,4.268640927,5.190995903,6.527589178,7.900525799,8.461734248,9.477309398,14.66744731,29.33489462
-100,-20.00000001,65.00000001,70,-37.65044508,-18.82522254,-11.39424853,-8.754446997,-8.170552934,-7.541998857,-6.93285282,-4.799968399,-3.402787915,-2.255563247,-1.586137444,-0.7805692447,-0.2286184332,-0.02731876965,0.01823052045,0.3082973193,0.7368530224,1.016653172,1.295943257,1.715780104,2.405657671,2.941177173,3.394398235,4.452550575,5.841379336,6.860826014,7.135527813,7.673619851,13.26615051,26.53230102
-100,-20.00000001,70.00000001,75,-30.52750146,-15.26375073,-12.31328767,-10.38235851,-9.12750473,-6.81402515,-6.027723026,-2.877520076,-2.145842518,-1.326698547,-0.873198925,-0.5425163963,-0.1888041504,-0.03738418284,0.003735413474,0.2082421172,0.5716195642,0.9242461625,1.161550745,1.522244069,2.000843494,2.580314381,2.95181205,3.665893746,4.937068622,5.870675234,6.243290542,6.705313189,8.48436115,16.9687223
-100,-20.00000001,75.00000001,80,-25.52632536,-12.76316268,-11.29122462,-10.0848482,-7.662469599,-6.829246887,-6.377287141,-3.627718982,-2.062729751,-1.117235143,-0.7973446715,-0.480863262,-0.2046693932,-0.0558080733,-0.007882352772,0.01750618772,0.2480951509,0.5446988005,0.841252443,1.130658759,1.462886155,1.735109681,2.079753926,2.643269429,3.503230364,4.645343438,4.918774364,5.685584386,8.503922972,17.00784594
-100,-20.00000001,80.00000001,85,-25.35207978,-12.67603989,-11.31485627,-8.609183635,-6.736804782,-6.312088229,-5.626011448,-2.396004806,-1.592179633,-0.9822336609,-0.6739239681,-0.4426755752,-0.1497951079,-0.07349982156,-0.02732265515,0,0.004803914501,0.04249768228,0.1793267601,0.5385084065,0.8184076583,1.093880294,1.519316406,2.015181499,2.588225006,3.109683473,3.514262541,4.175617604,16.15130487,32.30260974
-100,-20.00000001,85.00000001,90,-27.60147006,-13.80073503,-7.742938449,-5.725759811,-4.176663126,-3.430855341,-2.7194284,-1.235687087,-0.7115083224,-0.4877729385,-0.2497693051,-0.1384380575,-0.08119369635,-0.03495837549,-0.01166718427,0,0,0.005355613653,0.02964383019,0.08299715952,0.2389537233,0.4591228422,0.7026685814,1.015900998,1.446030575,2.051615284,2.366471585,2.736363784,6.59958797,13.19917594
-100,-20.00000001,90.00000001,95,-29.29394268,-14.64697134,-5.392444628,-3.758600572,-3.194378267,-2.721498867,-2.203181247,-1.132552327,-0.6267894271,-0.3941166235,-0.2386490852,-0.1334385377,-0.06490739891,-0.03416117888,-0.02047406536,-0.004659730931,0,0,0.009524458271,0.02210011677,0.0718757637,0.1542960637,0.2850404902,0.6204240836,1.230905694,1.615792297,1.973359746,3.093993367,14.72233571,29.44467142
-100,-20.00000001,95.00000001,99.9999999,-36.08258864,-18.04129432,-4.489903115,-2.680831175,-1.72996419,-1.317910627,-0.9619034302,-0.4778881249,-0.2603682555,-0.1781105721,-0.1239818358,-0.07644957782,-0.04717010277,-0.0305596452,-0.0190216389,-0.01054351837,-0.003594227005,0.000846621379,0.006274355908,0.01496696629,0.02877112561,0.06266898932,0.1129041067,0.2131139541,0.494177731,0.9982788469,1.87356381,3.326240257,41.36331164,82.72662328
-100,-20.00000001,99.99999991,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0000001,20,0,5,-123.2965835,-61.64829176,-55.28723012,-48.92616848,-42.56510684,-39.41766199,-38.88128079,-37.38519473,-35.55153493,-34.01806488,-31.83918275,-25.33281419,-24.30436762,-23.94482936,-21.66934853,-18.91037018,-16.30781964,-11.03531285,-6.703328745,-1.308007894,3.432137902,6.002558335,12.63393414,15.14391596,18.2343002,21.20626788,22.61898905,24.03171021,25.44443137,50.88886274
